City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
200,Vila Franca Do Campo,PT,2022-05-24 23:12:57,37.7167,-25.4333,61.2,77,34,4.68
201,Jalu,LY,2022-05-24 23:12:57,29.0331,21.5482,81.93,11,0,8.63
202,Sao Lourenco Do Sul,BR,2022-05-24 23:12:57,-31.3653,-51.9783,61.83,86,75,5.84
203,Saint George,US,2022-05-24 23:09:24,37.1041,-113.5841,89.64,8,0,7.0
204,Cartagena Del Chaira,CO,2022-05-24 23:12:58,1.3349,-74.8429,74.28,96,63,1.16
205,Acari,PE,2022-05-24 23:12:58,-15.4311,-74.6158,67.62,72,8,4.38
206,Oksfjord,NO,2022-05-24 23:12:58,70.2396,22.3479,55.58,63,100,11.25
207,Lethem,GY,2022-05-24 23:12:59,3.3803,-59.7968,77.56,82,49,7.74
208,Hurghada,EG,2022-05-24 23:12:59,27.2574,33.8129,78.19,36,0,13.89
209,Adre,TD,2022-05-24 23:12:59,13.4667,22.2,81.41,11,72,6.49
210,Tampere,FI,2022-05-24 23:13:04,61.4991,23.7871,46.51,73,0,1.14
211,Porto Velho,BR,2022-05-24 23:10:40,-8.7619,-63.9039,77.5,68,77,2.53
212,Linhares,BR,2022-05-24 23:13:04,-19.3911,-40.0722,65.41,95,38,3.8
213,Rocha,UY,2022-05-24 23:11:26,-34.4833,-54.3333,57.79,89,100,3.31
214,Solwezi,ZM,2022-05-24 23:13:05,-12.1688,26.3894,51.04,61,11,1.63
215,Dovolnoye,RU,2022-05-24 23:13:05,54.4958,79.6671,58.69,60,100,7.11
216,Chilca,PE,2022-05-24 23:13:05,-12.5211,-76.7372,63.21,88,30,5.77
217,Puerto Del Rosario,ES,2022-05-24 23:13:06,28.5004,-13.8627,67.75,77,100,23.02
218,Voyvozh,RU,2022-05-24 23:13:06,62.892,54.9635,41.22,96,94,5.93
219,Namibe,AO,2022-05-24 23:13:06,-15.1961,12.1522,66.22,74,0,7.54
220,Taltal,CL,2022-05-24 23:13:07,-25.4,-70.4833,59.65,83,23,1.05
221,Sao Miguel Do Araguaia,BR,2022-05-24 23:13:07,-13.275,-50.1628,76.86,48,14,2.73
222,Kirs,RU,2022-05-24 23:13:07,59.3388,52.2447,39.45,98,100,3.51
223,Cuamba,MZ,2022-05-24 23:13:08,-14.8031,36.5372,70.34,78,100,1.92
224,Sabha,LY,2022-05-24 23:13:08,27.0377,14.4283,84.6,13,29,12.1
225,Karpathos,GR,2022-05-24 23:13:08,35.507,27.2132,69.76,73,0,13.8
226,Pasni,PK,2022-05-24 23:13:09,25.2631,63.471,81.01,94,0,5.84
227,Mandsaur,IN,2022-05-24 23:13:09,24.0667,75.0667,82.63,64,44,17.13
228,Ponta Delgada,PT,2022-05-24 23:14:09,37.7333,-25.6667,61.5,82,20,5.75
229,Berlevag,NO,2022-05-24 23:14:10,70.8578,29.0864,49.95,40,100,10.36
230,Frome,GB,2022-05-24 23:14:10,51.2283,-2.3221,52.88,93,21,6.6
231,Pisco,PE,2022-05-24 23:14:11,-13.7,-76.2167,65.01,83,1,3.27
232,Saint-Augustin,CA,2022-05-24 23:14:11,51.226,-58.6502,47.75,59,81,12.21
233,Mana,GF,2022-05-24 23:14:12,5.6592,-53.7767,78.44,88,71,8.75
234,Andenes,NO,2022-05-24 23:14:12,69.3143,16.1194,51.78,66,40,8.05
235,Shu,KZ,2022-05-24 23:14:12,43.5983,73.7614,61.36,77,100,6.69
236,Berezniki,RU,2022-05-24 23:14:12,59.4152,56.8124,43.92,97,100,4.65
237,Biskamzha,RU,2022-05-24 23:14:13,53.4497,89.5272,54.43,78,100,4.21
238,Ayagoz,KZ,2022-05-24 23:14:13,47.9714,80.4392,58.32,75,100,9.28
239,Dingli,MT,2022-05-24 23:14:14,35.8614,14.3822,68.16,73,0,9.22
240,Dingle,PH,2022-05-24 23:14:14,10.9995,122.6711,82.02,80,37,4.34
241,Belmonte,BR,2022-05-24 23:14:14,-15.8631,-38.8828,72.88,79,28,9.15
242,Kassala,SD,2022-05-24 23:14:15,15.451,36.4,91.63,19,21,3.89
243,Ribeira Grande,PT,2022-05-24 23:14:15,38.5167,-28.7,64.8,82,75,8.05
244,Morondava,MG,2022-05-24 23:14:16,-20.2833,44.2833,74.3,81,0,5.19
245,Ardakan,IR,2022-05-24 23:14:16,32.31,54.0175,76.01,9,0,6.78
246,Hadejia,NG,2022-05-24 23:14:16,12.4498,10.0444,86.72,7,70,7.36
247,Narsaq,GL,2022-05-24 23:14:17,60.9167,-46.05,36.34,44,1,15.43
248,Pangnirtung,CA,2022-05-24 23:14:17,66.1451,-65.7125,20.08,79,100,6.58
249,Mehran,IR,2022-05-24 23:14:17,33.1222,46.1646,79.07,24,0,7.99
250,Nilopolis,BR,2022-05-24 23:14:18,-22.8075,-43.4139,70.72,80,0,4.52
251,Port-Gentil,GA,2022-05-24 23:11:02,-0.7193,8.7815,75.16,88,20,10.36
252,Challapata,BO,2022-05-24 23:14:18,-18.9,-66.7667,42.94,20,0,2.82
253,Linden,GY,2022-05-24 23:14:18,6.0,-58.3,75.31,91,53,3.98
254,Svencionys,LT,2022-05-24 23:14:19,55.15,26.1667,49.12,79,1,4.54
255,Kombissiri,BF,2022-05-24 23:14:19,12.0656,-1.3375,86.81,46,89,8.59
256,Amiens,FR,2022-05-24 23:14:19,49.9,2.3,50.04,92,1,6.6
257,Tibati,CM,2022-05-24 23:14:20,6.4667,12.6333,66.9,94,94,1.74
258,Lubango,AO,2022-05-24 23:14:20,-14.9172,13.4925,55.44,33,0,3.24
259,Sao Joao Da Barra,BR,2022-05-24 23:14:21,-21.6403,-41.0511,72.9,72,88,10.33
260,Nanortalik,GL,2022-05-24 23:14:21,60.1432,-45.2371,32.04,70,12,32.66
261,Madawaska,US,2022-05-24 23:14:21,47.3561,-68.3288,59.49,64,100,4.97
262,Colquechaca,BO,2022-05-24 23:11:14,-18.6667,-66.0167,34.29,18,0,4.0
263,Kwakoa,TZ,2022-05-24 23:14:22,-3.7667,37.7167,68.31,86,95,1.19
264,Grand Gaube,MU,2022-05-24 23:14:22,-20.0064,57.6608,71.38,79,13,12.88
265,Rio Grande,BR,2022-05-24 23:14:22,-32.035,-52.0986,61.95,85,100,8.19
266,Bialystok,PL,2022-05-24 23:14:23,53.1333,23.15,55.96,57,100,6.33
267,Manoel Urbano,BR,2022-05-24 23:11:18,-8.8389,-69.2597,74.03,90,94,1.07
268,Tubuala,PA,2022-05-24 23:14:23,9.5167,-79.0333,80.42,84,91,5.79
269,Urucui,BR,2022-05-24 23:11:14,-7.2294,-44.5561,82.54,44,49,3.74
270,Hyderabad,IN,2022-05-24 23:12:22,17.3753,78.4744,83.71,51,40,13.8
271,Nikel,RU,2022-05-24 23:14:23,69.4128,30.222,46.58,56,99,6.78
272,Vagur,FO,2022-05-24 23:14:24,61.4732,-6.8119,46.83,88,86,15.68
273,Mitsamiouli,KM,2022-05-24 23:14:24,-11.3847,43.2844,79.39,73,10,8.93
274,Raudeberg,NO,2022-05-24 23:15:24,61.9875,5.1352,54.27,92,100,7.99
275,Inzer,RU,2022-05-24 23:15:25,54.2167,57.5556,51.39,98,100,2.55
276,Touros,BR,2022-05-24 23:15:25,-5.1989,-35.4608,75.09,90,8,6.96
277,Road Town,VG,2022-05-24 23:15:25,18.4167,-64.6167,79.66,76,28,14.94
278,Saraland,US,2022-05-24 23:15:25,30.8207,-88.0706,84.31,79,96,9.82
279,Kargala,RU,2022-05-24 23:15:26,56.6208,83.9607,54.97,62,3,4.14
280,Messina,IT,2022-05-24 23:15:26,38.1933,15.5497,76.91,64,37,5.01
281,Hambantota,LK,2022-05-24 23:15:26,6.1241,81.1185,78.73,81,100,13.24
282,Concepcion,CL,2022-05-24 23:15:27,-36.827,-73.0498,48.97,84,97,2.93
283,Ozark,US,2022-05-24 23:13:38,37.0209,-93.206,62.85,95,100,3.0
284,Mehamn,NO,2022-05-24 23:15:27,71.0357,27.8492,49.91,62,100,13.73
285,Castro,BR,2022-05-24 23:15:27,-24.7911,-50.0119,54.45,84,0,2.75
286,Vetlanda,SE,2022-05-24 23:15:27,57.4289,15.0776,50.95,98,94,4.94
287,Nioro,GM,2022-05-24 23:15:28,13.35,-15.75,80.08,53,27,10.04
288,Jibuti,DJ,2022-05-24 23:15:28,11.5,42.5,84.81,43,2,2.53
289,Faya,SA,2022-05-24 23:15:28,18.3851,42.4509,70.05,51,2,3.44
290,Hamilton,US,2022-05-24 23:13:49,39.1834,-84.5333,75.65,63,86,4.0
291,Kolpashevo,RU,2022-05-24 23:15:29,58.3131,82.9089,58.1,68,11,3.31
292,San Pedro,PH,2022-05-24 23:15:29,14.35,121.0167,86.36,85,56,3.33
293,Zhovkva,UA,2022-05-24 23:15:29,50.0583,23.9726,55.85,73,99,5.57
294,Muscat,OM,2022-05-24 23:15:29,23.6139,58.5922,90.73,45,0,10.29
