City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Hilo,US,19.7297,-155.09,77.25,81,100,1.01,overcast clouds
142,Kualakapuas,ID,-3.0091,114.3876,72.61,98,73,2.39,broken clouds
143,Laguna De Perlas,NI,12.3429,-83.6712,84.29,70,99,8.55,overcast clouds
144,Minna,NG,9.6139,6.5569,85.71,58,20,4.61,few clouds
145,Rolla,US,37.9514,-91.7713,65.14,88,100,10.36,overcast clouds
146,Moindou,NC,-21.6924,165.677,73.8,80,100,9.1,light rain
147,San Patricio,US,28.017,-97.5169,94.87,36,0,9.13,clear sky
148,Milkovo,RU,54.7167,158.6167,41.76,80,7,4.52,clear sky
149,Daru,PG,-9.0763,143.2092,78.3,80,98,12.03,overcast clouds
150,Saskylakh,RU,71.9167,114.0833,21.0,95,98,5.08,overcast clouds
151,Longyearbyen,SJ,78.2186,15.6401,44.44,81,0,8.05,clear sky
152,Salinopolis,BR,-0.6136,-47.3561,81.54,79,52,9.4,broken clouds
153,Narsaq,GL,60.9167,-46.05,53.82,64,100,3.22,overcast clouds
154,Praya,CV,14.9215,-23.5087,79.34,57,20,18.41,few clouds
155,Lompoc,US,34.6391,-120.4579,71.85,67,100,6.91,overcast clouds
156,Half Moon Bay,US,37.4636,-122.4286,73.54,69,100,12.66,overcast clouds
157,Ugoofaaru,MV,5.6667,73.0,81.73,78,64,12.97,broken clouds
158,Paamiut,GL,61.994,-49.6678,32.63,80,82,15.95,broken clouds
159,Goiatuba,BR,-18.0125,-49.3547,80.44,29,100,4.05,overcast clouds
160,Itarema,BR,-2.9248,-39.9167,81.61,80,17,11.41,few clouds
161,Hithadhoo,MV,-0.6,73.0833,83.7,73,42,11.86,scattered clouds
162,Sao Felix Do Xingu,BR,-6.6447,-51.995,84.33,60,53,3.6,broken clouds
163,Valdivia,CL,-39.8142,-73.2459,50.09,64,98,2.93,overcast clouds
164,Yellowknife,CA,62.456,-114.3525,52.32,62,40,12.66,scattered clouds
165,Fort Nelson,CA,58.8053,-122.7002,60.39,48,75,5.75,broken clouds
166,Airai,TL,-8.9266,125.4092,55.65,84,2,2.62,clear sky
167,Norman Wells,CA,65.282,-126.8329,53.64,58,75,18.41,broken clouds
168,Kankan,GN,10.3854,-9.3057,80.44,55,100,3.38,overcast clouds
169,Vung Tau,VN,10.346,107.0843,78.98,85,100,13.24,overcast clouds
170,Clyde River,CA,70.4692,-68.5914,21.43,86,100,18.41,overcast clouds
171,Taoudenni,ML,22.6783,-3.9836,102.7,11,93,2.17,overcast clouds
172,Vao,NC,-22.6667,167.4833,70.14,89,100,19.51,overcast clouds
173,Beringovskiy,RU,63.05,179.3167,39.88,83,98,8.32,overcast clouds
174,Sobolevo,RU,54.4299,31.8996,47.73,94,100,9.1,overcast clouds
175,Leningradskiy,RU,69.3833,178.4167,32.61,98,100,4.47,light snow
176,Qaanaaq,GL,77.484,-69.3632,23.67,87,100,13.73,overcast clouds
177,Sao Filipe,CV,14.8961,-24.4956,73.13,79,16,5.23,few clouds
178,Dikson,RU,73.5069,80.5464,19.33,90,5,4.43,clear sky
179,Krapivinskiy,RU,54.9992,86.8133,51.12,72,0,5.75,clear sky
180,Armizonskoye,RU,55.9461,67.6736,49.59,79,4,9.95,clear sky
181,Kollam,IN,8.8833,76.6,78.6,86,17,4.76,few clouds
182,Pisco,PE,-13.7,-76.2167,66.02,77,75,11.5,mist
183,Sept-Iles,CA,50.2001,-66.3821,44.06,97,100,17.27,light intensity drizzle
184,Ahipara,NZ,-35.1667,173.1667,56.77,83,98,8.79,overcast clouds
185,Nesna,NO,66.1967,13.0213,49.57,94,100,8.37,light rain
186,Kalabo,ZM,-14.97,22.6814,61.95,36,0,3.74,clear sky
187,Barrow,US,71.2906,-156.7887,28.42,86,100,10.36,overcast clouds
188,Wasilla,US,61.5814,-149.4394,65.52,50,0,4.61,clear sky
189,Benjamin Constant,BR,-4.3831,-70.0311,77.13,88,75,2.3,moderate rain
190,Port Hedland,AU,-20.3167,118.5667,73.45,64,18,6.91,few clouds
191,Babushkin,RU,51.7122,105.8647,43.38,68,100,4.99,overcast clouds
192,Caravelas,BR,-17.7125,-39.2481,71.38,89,100,6.71,overcast clouds
193,Catabola,AO,-12.15,17.2833,59.52,41,0,4.25,clear sky
194,Carnarvon,AU,-24.8667,113.6333,71.58,63,100,5.82,overcast clouds
195,Acapulco,MX,16.8634,-99.8901,89.42,66,40,6.91,scattered clouds
196,Saint-Philippe,RE,-21.3585,55.7679,71.19,72,0,8.32,clear sky
197,Macomer,IT,40.262,8.7699,66.34,45,1,7.76,clear sky
198,Batagay-Alyta,RU,67.8006,130.4114,16.47,88,28,4.12,scattered clouds
199,Binzhou,CN,37.3667,118.0167,74.98,31,100,12.71,overcast clouds
200,Katsuura,JP,35.1333,140.3,68.02,80,28,6.82,scattered clouds
201,Dossor,KZ,47.5272,52.9811,66.31,56,98,16.55,overcast clouds
202,Salamanca,ES,40.8333,-6.0,82.18,30,6,13.42,clear sky
203,La Antigua,CO,6.7153,-76.079,70.95,69,100,2.8,overcast clouds
204,Bambous Virieux,MU,-20.3428,57.7575,70.21,88,20,3.44,few clouds
205,Samfya,ZM,-11.3649,29.5565,67.37,55,39,10.22,scattered clouds
206,Ayan,RU,56.45,138.1667,35.94,85,100,10.65,overcast clouds
207,Deputatskiy,RU,69.3,139.9,18.3,94,48,2.19,scattered clouds
208,Woodbridge,US,40.5576,-74.2846,83.28,67,75,14.97,broken clouds
209,Botou,CN,38.0667,116.5667,76.95,30,92,16.08,overcast clouds
